Outcome,Excluded country,N (-country),Converged,Public-sector beta,OR,Warning,Error
detailed_explanation,AT,9258,True,-0.22460696095326815,0.7988301284981494,,
detailed_explanation,BE,9384,True,-0.2036530590100418,0.8157453375931102,,
detailed_explanation,BG,9359,True,-0.21192437342529297,0.8090258791090817,,
detailed_explanation,CY,9508,True,-0.22377192676205332,0.7994974575509294,,
detailed_explanation,CZ,9278,True,-0.24178258145684095,0.7852268818787214,,
detailed_explanation,DE,9064,True,-0.20452866363895342,0.8150313798174822,,
detailed_explanation,DK,9370,True,-0.24893993349858007,0.779626801432663,,
detailed_explanation,EE,9358,True,-0.21661179904499353,0.8052425045471138,,
detailed_explanation,ES,9344,True,-0.2115861095306045,0.8092995896444389,,
detailed_explanation,FI,9396,True,-0.26417326497357735,0.7678404882685549,,
detailed_explanation,FR,9388,True,-0.21727680543784397,0.8047071911469396,,
detailed_explanation,GR,9428,True,-0.23253304699655708,0.7925235583907088,,
detailed_explanation,HR,9228,True,-0.2233782479127774,0.7998122647524196,,
detailed_explanation,HU,9229,True,-0.23056914959323405,0.7940815226893831,,
detailed_explanation,IE,9373,True,-0.2397940769432901,0.7867898625595463,,
detailed_explanation,IT,9361,True,-0.2175844431176784,0.8044596709689278,,
detailed_explanation,LT,9437,True,-0.24380410101374292,0.7836411337308637,,
detailed_explanation,LU,9492,True,-0.21229617072092902,0.80872514138533,,
detailed_explanation,LV,9394,True,-0.2562559794052787,0.7739438297523143,,
detailed_explanation,MT,9566,True,-0.21628565740072936,0.8055051704924016,,
detailed_explanation,NL,9436,True,-0.23762723095483912,0.7884965634281744,,
detailed_explanation,PL,9319,True,-0.23467890253115736,0.7908247406871988,,
detailed_explanation,PT,9431,True,-0.21494514085859806,0.8065856875619157,,
detailed_explanation,RO,9228,True,-0.24796433250352798,0.7803877772599394,,
detailed_explanation,SE,9367,True,-0.2297401431040815,0.7947400943669889,,
detailed_explanation,SI,9398,True,-0.21127927200647936,0.8095479512281791,,
detailed_explanation,SK,9300,True,-0.20370671548258804,0.8157015687500503,,
personal_data_access,AT,9258,True,0.04290935690226317,1.0438432733744352,,
personal_data_access,BE,9384,True,0.028798621345009625,1.0292173112067948,,
personal_data_access,BG,9359,True,0.026183395420402298,1.0265291919641328,,
personal_data_access,CY,9508,True,0.04100022146058134,1.041852336274678,,
personal_data_access,CZ,9278,True,0.02301035918386774,1.0232771398083513,,
personal_data_access,DE,9064,True,0.07731065965355176,1.0803776540123884,,
personal_data_access,DK,9370,True,0.05773190579165769,1.0594309303372862,,
personal_data_access,EE,9358,True,0.037814492476525054,1.0385385582917757,,
personal_data_access,ES,9344,True,0.03652927894819559,1.0372046718350336,,
personal_data_access,FI,9396,True,0.09720081658836285,1.1020816676811087,,
personal_data_access,FR,9388,True,0.044794171619503144,1.0458125798444908,,
personal_data_access,GR,9428,True,0.02297866072147505,1.023244704010503,,
personal_data_access,HR,9228,True,0.05713784616704732,1.0588017520997066,,
personal_data_access,HU,9229,True,0.051335996797278925,1.052676529812094,,
personal_data_access,IE,9373,True,0.032691975230971795,1.0332322291013971,,
personal_data_access,IT,9361,True,0.05146047087475233,1.0528075689073362,,
personal_data_access,LT,9437,True,0.06952534675125824,1.0719992325583134,,
personal_data_access,LU,9492,True,0.016923697637406327,1.0170677146949068,,
personal_data_access,LV,9394,True,0.04998626442768251,1.0512566566650237,,
personal_data_access,MT,9566,True,0.048607668675938964,1.0498083972156864,,
personal_data_access,NL,9436,True,0.03272751365273449,1.033268949196617,,
personal_data_access,PL,9319,True,0.03962038251012567,1.0404157392046944,,
personal_data_access,PT,9431,True,0.04478429706433824,1.045802252961466,,
personal_data_access,RO,9228,True,0.04698131629059652,1.0481024264555572,,
personal_data_access,SE,9367,True,0.02593897794149042,1.0262783209468833,,
personal_data_access,SI,9398,True,0.0056799353649968415,1.0056960967819848,,
personal_data_access,SK,9300,True,0.04384408359496387,1.0448194376974047,,
automated_analysis_access,AT,9258,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,BE,9384,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,BG,9359,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,CY,9508,True,-0.1641524725426205,0.8486126218913251,,
automated_analysis_access,CZ,9278,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,DE,9064,True,-0.14366385645108906,0.8661788595646823,,
automated_analysis_access,DK,9370,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,EE,9358,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,ES,9344,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,FI,9396,True,-0.16794842343490107,0.8453974362561449,,
automated_analysis_access,FR,9388,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,GR,9428,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,HR,9228,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,HU,9229,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,IE,9373,False,-0.13557709781525157,0.8732118376082636,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,IT,9361,False,-0.1279268744751126,0.8799177212373137,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,LT,9437,True,-0.12648198598774757,0.8811900231684153,,
automated_analysis_access,LU,9492,False,-0.13702648531216535,0.8719471320343,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,LV,9394,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,MT,9566,False,-0.14711718741732863,0.8631928161522401,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,NL,9436,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,PL,9319,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,PT,9431,True,-0.14559313471619997,0.8645093704895547,,
automated_analysis_access,RO,9228,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,SE,9367,False,,,,LinAlgError('Singular matrix')
automated_analysis_access,SI,9398,False,-0.17689993379035374,0.8378636221651369,Maximum Likelihood optimization failed to converge. Check mle_retvals,
automated_analysis_access,SK,9300,False,-0.14924804944000306,0.8613554296658306,Maximum Likelihood optimization failed to converge. Check mle_retvals,
not_informed,AT,9258,True,0.14932856298971425,1.1610544060527987,,
not_informed,BE,9384,True,0.15102301974663243,1.163023430278367,,
not_informed,BG,9359,True,0.15096837690335574,1.1629598811076087,,
not_informed,CY,9508,True,0.14656307012506214,1.1578479541309075,,
not_informed,CZ,9278,True,0.17209750227560183,1.1877936401509543,,
not_informed,DE,9064,True,0.12986111240405576,1.1386702251716259,,
not_informed,DK,9370,True,0.16751531396446628,1.1823633967173237,,
not_informed,EE,9358,True,0.1414004661557293,1.151885846928255,,
not_informed,ES,9344,True,0.14869230694501795,1.160315913128933,,
not_informed,FI,9396,True,0.1618010301466248,1.1756263038552177,,
not_informed,FR,9388,True,0.14733118101438852,1.1587376514019978,,
not_informed,GR,9428,True,0.15861488752764216,1.1718865516401415,,
not_informed,HR,9228,True,0.12499261386183823,1.1331400835067036,,
not_informed,HU,9229,True,0.15677935258444148,1.1697374858711802,,
not_informed,IE,9373,True,0.16021908921137099,1.1737680027294375,,
not_informed,IT,9361,True,0.14710147200308774,1.1584715094905051,,
not_informed,LT,9437,True,0.15825753350660912,1.1714678480858736,,
not_informed,LU,9492,True,0.13896991966579408,1.1490895344865066,,
not_informed,LV,9394,True,0.15785006135897794,1.1709906048042087,,
not_informed,MT,9566,True,0.12986025977922216,1.1386692543135284,,
not_informed,NL,9436,True,0.14671055681751213,1.1580187338895835,,
not_informed,PL,9319,True,0.16448586248988809,1.1787869043220254,,
not_informed,PT,9431,True,0.14851442642736673,1.1601095338896337,,
not_informed,RO,9228,True,0.16284350413861343,1.1768525027304548,,
not_informed,SE,9367,True,0.14910019277315958,1.1607892860805615,,
not_informed,SI,9398,True,0.17390090624219784,1.1899376445850778,,
not_informed,SK,9300,True,0.15148466545970501,1.1635604590081259,,
